DATE,TEMPERATURE
36937,12.63333333
36938,12.79513889
36939,12.84736111
36940,12.88152778
36941,12.92673612
36942,13.02736111
36943,13.06347222
36944,13.03604167
36945,12.83520834
36946,12.44680556
36947,12.59666667
36948,12.60215278
36949,12.70284722
36950,12.85055556
36951,12.89722223
36952,12.95909723
36953,12.99534723
36954,13.00625
36955,13.0775
36956,13.15493056
36957,13.29145833
36958,13.425625
36959,13.31020833
36960,13.03909722
36961,12.62083333
36962,12.6125
36964,12.80604167
36965,13.16756945
36966,12.9125
36967,12.51541667
36968,13.25972222
36969,13.55583334
36970,13.46541667
36971,13.34284723
36972,13.33201389
36973,13.40868056
36974,13.25340278
36975,13.41541667
36976,13.37875
36977,13.48875
36978,14.09944445
36979,13.58777778
36980,13.20965278
36981,12.98930556
36982,12.79375
36983,12.76201389
36984,12.39666667
36985,12.69875
36986,12.86055556
36987,12.80777778
36988,12.74715278
36989,11.01319445
36990,10.56729167
36991,10.48868056
36993,10.65527778
36994,11.43340278
36995,11.490625
36996,11.72756945
36997,11.91256945
36998,11.95881945
36999,12.44805556
37000,11.3725
37001,10.72479167
37002,10.53152778
37003,9.908194446
37004,10.49222222
37005,10.81520834
37006,10.99666667
37007,11.04694445
37008,11.62020833
37009,11.74027778
37010,12.16104167
37011,12.14722223
37012,12.53055556
37013,12.79354167
37014,13.22138889
37015,12.56652778
37016,12.44409722
37017,13.24493056
37018,13.211875
37019,13.63611112
37020,13.69916667
37021,13.37951389
37022,13.92798612
37023,14.01277778
37024,13.26618056
37025,13.84604167
37026,14.65666667
37027,14.76472222
37028,14.98694445
37029,14.63284722
37030,14.57347223
37031,14.14680556
37032,14.73888889
37033,14.32236111
37034,14.67291667
37035,15.35708334
37036,15.22506945
37037,15.44791667
37038,14.56958333
37039,14.94826389
37040,15.05319445
37041,15.69006945
37042,16.19076389
37043,16.03416667
37044,14.96909723
37045,14.58604167
37046,14.99847223
37047,14.94375
37048,15.31305556
37049,15.52756945
37050,15.2175
37051,15.93395834
37052,15.99895833
37053,17.12256944
37054,17.06645834
37055,16.58412987
37056,16.01020833
37057,16.22173611
37058,17.05131945
37059,16.14708334
37060,15.63451389
37061,15.59229167
37062,15.97479167
37063,16.02819445
37064,16.06736111
37065,15.65826389
37066,15.52145833
37067,16.42944445
37068,16.97298612
37069,15.14930556
37070,14.47388889
37071,14.65479167
37072,14.75569444
37073,14.87479167
37074,15.32902778
37075,15.43861111
37076,14.85534723
37077,14.89465278
37078,15.45972223
37079,16.45347222
37080,16.23520834
37081,15.53430556
37082,15.04416667
37083,14.25930556
37085,14.19458333
37086,14.60368056
37087,14.43625
37088,13.65652778
37089,13.19993056
37090,13.38451389
37091,13.87604167
37092,14.60868056
37093,14.85131945
37094,15.03486111
37095,14.79416667
37096,14.39430556
37097,14.01090278
37098,13.97576389
37099,14.284375
37100,14.04430556
37101,14.709375
37102,15.34298611
37103,15.43472222
37104,15.11930556
37105,14.43402778
37106,15.206875
37107,15.37909722
37108,15.48486111
37109,15.71597223
37110,15.80416667
37111,14.39881945
37112,13.95604167
37113,14.35729167
37114,15.2675
37115,15.72618056
37116,15.81097222
37118,14.05041667
37119,13.15138889
37120,13.67756945
37121,14.220625
37122,14.33215278
37123,14.47444445
37124,14.29506945
37125,15.29125
37126,16.21597223
37127,15.89743056
37128,16.504375
37129,16.42090278
37130,17.11680556
37131,17.17597223
37132,18.17951389
37133,18.25076389
37134,18.69541667
37135,18.73659723
37136,18.72618056
37137,17.81055556
37138,18.0425
37139,17.99638889
37140,17.99611111
37141,16.933125
37142,16.15416667
37143,16.14729167
37144,15.68701389
37145,16.82694445
37146,17.12222222
37147,17.12729167
37148,16.82451389
37149,15.95055556
37150,16.21347223
37151,16.40986111
37152,15.95569445
37153,16.085625
37154,16.26388889
37155,16.66472222
37156,16.94979167
37157,16.83861111
37158,16.44090278
37159,14.37986111
37160,15.44729167
37161,15.53368056
37162,15.37354167
37163,16.10625
37164,15.93361112
37165,16.68222223
37166,16.55270833
37167,16.54819445
37168,16.05166667
37169,15.92270834
37170,16.77486111
37171,16.57826389
37172,16.40979167
37173,16.54833334
37174,16.51194445
37175,16.68708334
37176,16.97833334
37177,16.99888889
37178,17.65888889
37179,17.28055556
37180,17.39791667
37181,17.665625
37182,17.64159722
37183,16.5275
37184,15.916875
37185,15.74368056
37186,15.79083334
37187,15.53645833
37188,15.776875
37189,16.39152778
37190,16.44798611
37191,16.51923612
37192,16.20947369
37194,16.48583333
37195,16.62770833
37196,16.81777778
37197,16.41388889
37198,15.68527778
37199,15.59125
37200,15.74736112
37201,16.10361111
37202,16.17986111
37203,16.15895834
37204,16.28659722
37205,16.74368056
37206,17.11048611
37207,17.09368056
37208,16.57055556
37209,16.32131945
37210,16.48909723
37211,16.57243056
37212,16.32819445
37213,16.25909722
37214,15.85055556
37215,15.78534723
37216,15.49597222
37217,14.576875
37218,13.90694445
37219,14.72555556
37220,13.46444445
37221,12.43597223
37222,12.92
37223,13.53930556
37224,14.11111111
37225,14.33902778
37226,14.58277778
37227,14.55541667
37229,13.78069445
37230,13.72131944
37231,13.65798611
37232,14.02076389
37233,13.94041667
37234,13.78138889
37235,12.60805556
37236,11.77298611
37237,11.87055556
37238,12.62972223
37239,12.77597222
37240,12.09986111
37241,12.26020833
37242,12.578125
37243,12.65541667
37244,12.78979167
37245,12.80701389
37246,12.68270834
37247,12.48986112
37248,12.82368056
37249,12.90444445
37250,12.84736111
37251,13.04854167
37252,12.99458334
37253,13.12888889
37254,13.21972223
37255,13.19881945
37256,13.17444445
37257,13.22402778
37258,13.254375
37259,13.43159722
37260,13.42993056
37261,13.50694445
37262,13.49347223
37263,13.58479167
37265,14.04979167
37266,14.08902778
37267,13.87902778
37268,13.74888889
37269,13.91277778
37270,14.30868056
37271,14.33027778
37272,14.23201389
37273,14.12520834
37274,14.013125
37275,14.07777778
37276,13.88548611
37277,13.95875
37278,13.61361111
37279,13.41708333
37280,13.57993056
37281,13.61472222
37282,13.67715278
37283,13.73659722
37284,13.69326389
37285,13.27930556
37286,13.091875
37287,13.07159722
37288,13.16388889
37289,13.11604167
37290,13.13625
37291,13.00395834
37292,13.09756945
37293,13.15277778
37294,13.35298612
37295,13.00118056
37296,13.25638889
37297,13.34201389
37299,13.21173612
37300,13.08798611
37301,13.13375
37302,13.30201389
37303,13.28694445
37304,13.28465278
37305,12.94555556
37306,12.92736111
37307,13.03381944
37308,13.42819445
37309,13.52180556
37310,13.60666667
37311,13.28645833
37312,13.76583334
37313,13.80277778
37314,13.585
37315,13.55868056
37316,13.44659723
37317,13.795
37318,14.20881945
37319,14.32694445
37320,14.2475
37321,14.17736112
37322,14.31701389
37323,12.93506945
37324,13.35125
37325,13.13326389
37326,12.50576389
37327,13.17770834
37328,12.90201389
37329,11.21020834
37330,11.30319444
37331,10.46520834
37332,10.11145834
37333,9.800416667
37334,9.8075
37335,10.08715278
37336,10.350625
37337,10.51923611
37338,10.70361111
37339,10.17145833
37340,9.899375
37341,9.973263889
37342,10.59055556
37343,10.8725
37344,10.86347223
37345,11.20381945
37346,11.35215278
37347,11.45736111
37348,11.43180556
37349,11.29951389
37350,11.51097222
37351,11.71826389
37352,11.86506944
37353,11.15080883
37354,11.55993056
37355,12.03111111
37356,12.778125
37357,13.08305556
37358,13.02861112
37359,13.31270834
37360,13.15881945
37361,12.7125
37362,11.78597223
37363,12.24083334
37364,11.52166667
37365,11.84395834
37366,11.84631945
37367,12.66854167
37368,12.579375
37369,12.62381945
37370,12.49625
37371,12.11666667
37372,11.58097222
37373,10.66381945
37374,10.50652778
37375,11.21548611
37376,11.46916667
37377,10.70777778
37378,11.04368056
37379,11.65652778
37380,12.25875
37381,12.469375
37382,12.04263889
37383,11.79840278
37384,12.38402778
37385,12.55263889
37386,13.03916667
37387,12.66145834
37388,13.20048612
37389,12.97194445
37390,12.470625
37391,12.77847223
37392,11.91104167
37394,11.47277778
37395,12.03034722
37396,12.10277778
37397,11.77458334
37398,11.39027778
37399,11.13236111
37400,12.01833334
37401,12.30305556
37402,11.90152778
37403,11.816875
37404,12.749375
37405,13.37569444
37406,13.48965278
37407,13.101875
37408,12.95791667
37409,13.10881945
37410,13.93895834
37411,13.97368056
37412,13.86263889
37413,14.07173611
37414,14.725
37415,14.70493056
37416,13.6775
37417,14.58166667
37418,14.41173611
37419,16.19013889
37420,16.051875
37421,15.57034722
37422,15.86229167
37423,15.76673611
37424,16.57451389
37425,16.96354167
37426,14.59166667
37427,15.27347222
37428,13.60451389
37429,14.38694445
37430,15.08354167
37431,15.97111111
37432,16.08125
37433,15.09166667
37434,15.11131945
37435,15.35173612
37436,14.92784722
37437,15.70826389
37438,15.22923612
37439,15.57958334
37440,15.97201389
37441,15.46944445
37442,15.23166667
37443,15.45277778
37444,15.36541667
37445,16.32166667
37446,17.00486112
37447,16.63680556
37448,17.06618056
37449,16.393125
37450,15.81381945
37451,15.37569445
37452,15.19222223
37453,15.48090278
37454,15.47166667
37455,15.86083333
37456,15.46743056
37457,15.56020834
37458,15.20430556
37459,14.76493056
37460,15.75458334
37461,15.52826389
37463,15.40229167
37464,14.26041667
37465,14.65763889
37466,14.57715278
37467,15.69326389
37468,15.22277778
37469,15.63576389
37470,16.03958334
37471,15.31680556
37472,14.16416667
37473,13.98770833
37474,14.11
37475,14.64826389
37476,13.71152778
37477,13.64715278
37478,13.895625
37479,14.40708333
37480,14.30173611
37481,13.38743056
37482,13.55708334
37483,14.25770833
37484,15.14422222
37485,15.06153935
37486,15.01799769
37487,13.61210648
37488,13.15216435
37489,13.79859201
37490,14.26189236
37491,14.42646701
37492,14.97121528
37493,14.96380208
37494,15.61949653
37495,15.56580729
37496,15.2633507
37497,14.73848091
37498,14.84574653
37499,14.22956597
37500,13.94868924
37501,13.9179948
37502,14.46407986
37503,15.33480035
37504,15.99064236
37505,15.49444444
37506,14.50057292
37507,14.90071181
37508,14.96337674
37509,14.80346354
37510,14.99703993
37511,14.50032118
37512,14.23591146
37513,14.22985243
37514,13.72110243
37515,14.52419271
37516,14.37867187
37517,14.59403646
37518,14.02386285
37519,13.94703993
37520,14.09354167
37521,14.38841146
37522,14.15430556
37523,14.12000868
37524,14.50981771
37525,14.82412327
37526,14.92880209
37527,14.81199653
37528,15.24822049
37529,15.31976563
37530,15.32217014
37531,15.02579862
37532,15.01300347
37533,15.30546007
37534,15.32169271
37535,14.98230035
37536,15.3484375
37537,15.71138889
37538,15.66462674
37539,14.9462963
37540,15.44536111
37541,15.66229167
37542,15.76291667
37543,15.82559896
37544,15.5205382
37545,15.4019184
37546,14.96953125
37547,14.9383941
37548,15.44278646
37549,15.53199653
37550,15.29032986
37551,15.26228299
37552,15.83604167
37553,15.69250868
37554,15.27811632
37555,15.18649306
37556,15.48965985
37557,15.46546875
37558,15.69649306
37559,15.38552951
37560,15.58486979
37561,15.28320312
37562,15.40165799
37563,14.95905382
37564,15.21838542
37565,15.57419271
37566,15.548125
