site,date,temp_c
0,38210,15.23222222
0,38211,13.82611111
0,38212,13.84791667
0,38213,13.71597222
0,38214,13.96972222
0,38215,14.175
0,38216,14.87875
0,38217,15.27152778
0,38218,15.13111111
0,38219,15.59055556
0,38220,15.62527778
0,38221,15.56638889
0,38222,15.47291667
0,38223,15.47527778
0,38224,15.29180556
0,38225,15.32222222
0,38226,15.16013889
0,38227,15.61583333
0,38228,15.64861111
0,38229,16.22722222
0,38230,16.26041667
0,38231,14.93361111
0,38232,14.46402778
0,38233,15.43236111
0,38234,14.67097222
0,38235,15.56597222
0,38236,17.22486111
0,38237,17.00847222
0,38238,18.05972222
0,38239,18.49375
0,38240,18.74763889
0,38241,17.95694444
0,38242,17.58263889
0,38243,17.04930556
0,38244,17.82208333
0,38245,16.245
0,38246,17.05805556
0,38247,18.08611111
0,38248,16.96194444
0,38249,14.59625
0,38250,12.25402778
0,38251,12.54097222
0,38252,15.37583333
0,38253,15.24916667
0,38254,14.75555556
0,38255,15.81527778
0,38256,16.99777778
0,38257,15.55472222
0,38258,15.25430556
0,38259,15.31680556
0,38260,15.52375
0,38261,16.09472222
0,38262,16.13722222
0,38263,15.49694444
0,38264,14.97305556
0,38265,16.09083333
0,38266,15.77777778
0,38267,16.04222222
0,38268,17.32041667
0,38269,16.87041667
0,38270,15.81416667
0,38271,16.93361111
0,38272,16.66194444
0,38273,16.64777778
0,38274,17.17361111
0,38275,17.25319444
0,38276,16.42097222
0,38277,17.86805556
0,38278,16.98944444
0,38279,17.34986111
0,38280,17.62888889
0,38281,17.17236111
0,38282,17.39
0,38283,17.48916667
0,38284,17.70402778
0,38285,17.61138889
0,38286,16.94097222
0,38287,17.39722222
0,38288,17.37125
0,38289,16.44375
0,38290,17.07694444
0,38291,16.71144737
0,38292,17.57097222
0,38293,17.37430556
0,38294,17.22597222
0,38295,16.82777778
0,38296,17.05833333
0,38297,16.95875
0,38298,17.14625
0,38299,16.94347222
0,38300,16.74444444
0,38301,15.84486111
0,38302,14.90694444
0,38303,14.73277778
0,38304,15.17125
0,38305,15.58861111
0,38306,14.70152778
0,38307,14.55
0,38308,14.63805556
0,38309,14.99375
0,38310,15.29847222
0,38311,15.63458333
0,38312,15.70722222
0,38313,16.04305556
0,38314,16.03569444
0,38315,16.00833333
0,38316,15.65763889
0,38317,15.84458333
0,38318,16.01833333
0,38319,14.55458333
0,38320,14.59569444
0,38321,14.60208333
0,38322,14.35361111
0,38323,14.63041667
0,38324,14.57375
0,38325,14.57027778
0,38326,14.64958333
0,38327,14.55805556
0,38328,14.51944444
0,38329,14.46805556
0,38330,14.73152778
0,38331,15.145
0,38332,15.20986111
0,38333,15.14555556
0,38334,15.20277778
0,38335,15.05027778
0,38336,14.90833333
0,38337,14.87222222
0,38338,14.36458333
0,38339,14.32347222
0,38340,14.49722222
0,38341,14.73888889
0,38342,14.45875
0,38343,14.59888889
0,38344,14.61986111
0,38345,14.65472222
0,38346,14.67513889
0,38347,14.59444444
0,38348,14.43958333
0,38349,14.48958333
0,38350,14.47041667
0,38351,14.42055556
0,38352,14.30013889
0,38353,14.42638889
0,38354,14.31958333
0,38355,14.55847222
0,38356,14.64166667
0,38357,14.58305556
0,38358,14.24361111
0,38359,14.29972222
0,38360,14.53625
0,38361,14.58388889
0,38362,14.68625
0,38363,14.99125
0,38364,15.00180556
0,38366,14.61208333
0,38367,14.56319444
0,38368,14.52944444
0,38369,14.38319444
0,38370,14.37930556
0,38371,14.53402778
0,38372,14.62194444
0,38373,14.79305556
0,38374,14.84305556
0,38375,14.70847222
0,38376,15.00333333
0,38377,15.13388889
0,38378,15.23388889
0,38379,15.23444444
0,38380,15.11166667
0,38381,14.43138889
0,38382,14.10875
0,38383,14.18069444
0,38384,14.26486111
0,38385,14.27597222
0,38386,14.315
0,38387,14.16597222
0,38388,14.10097222
0,38389,13.98888889
0,38390,14.01791667
0,38391,14.10958333
0,38392,14.22361111
0,38393,14.37833333
0,38394,14.60805556
0,38395,14.78694444
0,38396,14.74347222
0,38397,14.68388889
0,38398,14.52402778
0,38399,14.59611111
0,38400,14.70222222
0,38401,14.78416667
0,38402,14.95805556
0,38403,14.92305556
0,38404,15.03291667
0,38405,15.09527778
0,38406,14.94361111
0,38407,15.13777778
0,38408,15.13708333
0,38409,15.1775
0,38410,15.02222222
0,38411,15.04069444
0,38412,15.01222222
0,38413,14.73416667
0,38414,14.74208333
0,38415,14.94513889
0,38416,14.71388889
0,38417,14.80194444
0,38418,14.71083333
0,38419,14.73805556
0,38420,14.44388889
0,38421,14.39305556
0,38422,14.65263889
0,38423,14.99861111
0,38424,14.32069444
0,38425,13.6025
0,38426,13.77847222
0,38427,13.69944444
0,38428,13.60902778
0,38429,13.75583333
0,38430,14.30416667
0,38431,14.31013889
0,38432,13.40208333
0,38433,13.23222222
0,38434,12.83694444
0,38435,12.39055556
0,38436,11.87305556
0,38437,11.58388889
0,38438,11.87111111
0,38439,11.73722222
0,38440,10.98930556
0,38441,10.59138889
0,38442,10.68916667
0,38443,11.39013889
0,38444,11.52125
0,38445,11.88647059
0,38446,11.24444444
0,38447,10.73333333
0,38448,11.05625
0,38449,11.19166667
0,38450,10.35625
0,38451,10.03986111
0,38452,9.916388889
0,38453,10.01819444
0,38454,10.38722222
0,38455,10.42638889
0,38456,10.99513889
0,38457,11.62708333
0,38458,11.40458333
0,38459,11.61944444
0,38460,12.00361111
0,38461,11.27944444
0,38462,11.83083333
0,38463,12.69930556
0,38464,12.28402778
0,38465,13.08416667
0,38466,12.36597222
0,38467,11.01694444
0,38468,11.60291667
0,38469,12.71333333
0,38470,12.74416667
0,38471,12.40916667
0,38472,12.64083333
0,38473,12.72472222
0,38474,12.14972222
0,38475,12.77333333
0,38476,13.42611111
0,38477,13.25458333
0,38478,11.89819444
0,38479,11.41347222
0,38480,11.26527778
0,38481,11.88819444
0,38482,11.0225
0,38483,10.60472222
0,38484,10.82180556
0,38485,11.74361111
0,38486,11.88319444
0,38487,11.91569444
0,38488,11.57347222
0,38489,10.57236111
0,38490,11.35847222
0,38491,11.53638889
0,38492,10.88847222
0,38493,11.17625
0,38494,11.39041667
0,38495,11.51986111
0,38496,11.63194444
0,38497,11.73930556
0,38498,11.52
0,38499,12.24166667
0,38500,12.13402778
0,38501,12.04194444
0,38502,11.74375
0,38503,12.75125
0,38504,13.26416667
0,38505,12.56611111
0,38506,12.24513889
0,38507,12.23666667
0,38508,12.33305556
0,38509,11.71916667
0,38510,11.03833333
0,38511,11.29430556
0,38512,10.76888889
0,38513,11.55208333
0,38514,13.03902778
0,38515,13.53305556
0,38516,12.44736111
0,38517,12.47222222
0,38518,12.48347222
0,38519,12.40152778
0,38520,12.38888889
0,38521,12.49875
0,38522,12.95125
0,38523,13.23638889
0,38524,13.47111111
0,38525,12.72472222
0,38526,12.32694444
0,38527,12.48388889
0,38528,12.00416667
0,38529,11.86555556
0,38530,12.04319444
0,38531,11.56916667
0,38532,12.23041667
0,38533,12.30111111
0,38534,12.53263889
0,38535,12.22652778
0,38536,11.78972222
0,38537,12.07944444
0,38538,12.43791667
0,38539,12.60583333
0,38540,12.86486111
0,38541,12.76513889
0,38542,12.595
0,38543,13.47055556
0,38544,13.17680556
0,38545,13.90041667
0,38546,12.84986111
0,38547,12.78694444
0,38549,12.39763889
0,38550,12.23833333
0,38551,12.70069444
0,38552,13.46458333
0,38553,13.25652778
0,38554,13.66666667
0,38555,14.12041667
0,38556,14.44708333
0,38557,13.21097222
0,38558,14.69930556
0,38559,15.66444444
0,38560,16.67222222
0,38561,15.61222222
0,38562,14.54388889
0,38563,14.53791667
0,38564,13.90263889
0,38565,13.95041667
0,38566,13.74430556
0,38567,14.30111111
0,38568,15.13458333
0,38569,15.81097222
0,38570,14.86611111
0,38571,15.20819444
0,38572,15.09652778
0,38573,15.39347222
0,38574,15.64430556
0,38575,15.97444444
0,38576,15.98861111
0,38577,15.49805556
0,38578,14.61069444
0,38579,14.20722222
0,38580,14.36736111
0,38581,13.77055556
0,38582,14.10708333
0,38583,14.48555556
0,38584,15.02180556
0,38585,15.40083333
0,38586,16.09666667
0,38587,16.70819444
0,38588,15.14555556
0,38589,14.10194444
0,38590,13.78
0,38591,14.09666667
0,38592,14.78375
0,38593,14.19111111
0,38594,13.86222222
0,38595,14.18416667
0,38596,13.86902778
0,38597,14.12513889
0,38598,14.40833333
0,38599,14.77708333
0,38600,14.94791667
0,38601,15.36069444
0,38602,15.00902778
0,38603,14.14180556
0,38604,14.24472222
0,38605,13.92527778
0,38606,13.62194444
0,38607,13.11805556
0,38608,13.18361111
0,38609,13.59055556
0,38610,14.255
0,38611,13.96666667
0,38612,14.12555556
0,38613,13.77152778
0,38614,13.88097222
0,38615,13.53180556
0,38616,13.53444444
0,38617,13.60972222
0,38618,13.70611111
0,38619,14.16236111
0,38620,13.88875
0,38621,13.01319444
0,38622,13.04027778
0,38623,13.15972222
0,38624,12.92611111
0,38625,12.68138889
0,38626,12.95083333
0,38627,13.42888889
0,38628,13.82611111
0,38629,12.37125
0,38630,13.07180556
0,38631,13.48569444
0,38632,13.90263889
0,38633,13.08666667
0,38634,12.82111111
0,38635,14.51583333
0,38636,14.63041667
0,38637,13.70777778
0,38638,13.24986111
0,38639,13.08486111
0,38640,12.49236111
0,38641,12.04930556
0,38642,12.69958333
0,38643,13.55625
0,38644,14.08055556
0,38645,14.45291667
0,38646,14.84222222
0,38647,15.285
0,38648,14.66902778
0,38649,15.06791667
0,38650,15.14763889
0,38651,15.41777778
0,38652,14.96527778
0,38653,14.74152778
0,38654,14.82305556
0,38655,15.14078947
0,38656,14.92277778
0,38657,14.4875
0,38658,14.52708333
0,38659,14.37319444
0,38660,13.48166667
0,38661,14.20027778
0,38662,15.04597222
0,38663,15.51638889
0,38664,15.89097222
0,38665,15.76847222
0,38666,15.22333333
0,38667,15.11986111
0,38668,15.42319444
0,38669,15.87444444
0,38670,16.13666667
0,38671,16.47777778
0,38672,16.06986111
0,38673,15.81875
0,38674,15.57402778
0,38675,15.80347222
0,38676,15.49597222
0,38677,15.49055556
0,38678,15.57083333
0,38679,15.78486111
0,38680,16.28055556
0,38681,16.01305556
0,38682,13.11
0,38683,13.49902778
0,38684,14.93958333
0,38685,14.14930556
0,38686,13.18069444
0,38718,13.78069444
0,38719,14.20291667
0,38720,13.63472222
0,38721,13.645
0,38722,13.725
0,38723,13.66388889
0,38724,13.45194444
0,38725,12.73694444
0,38726,13.15527778
0,38727,13.2225
0,38728,13.48680556
0,38729,13.67041667
0,38730,13.87027778
0,38731,13.71083333
0,38732,12.89833333
0,38733,12.23888889
0,38734,12.66527778
0,38735,12.73569444
0,38736,11.84791667
0,38737,11.74013889
0,38738,11.55458333
0,38739,11.61986111
0,38740,12.00236111
0,38741,12.46388889
0,38742,12.41791667
0,38743,12.55847222
0,38744,12.33208333
0,38745,12.49736111
0,38746,12.38125
0,38747,12.80833333
0,38748,12.45055556
0,38749,12.50791667
0,38750,11.95777778
0,38751,12.76486111
0,38752,12.90944444
0,38753,12.75333333
0,38754,12.17597222
0,38755,12.30347222
0,38756,12.04638889
0,38757,12.415
0,38758,13.15722222
0,38759,13.38986111
0,38760,13.48861111
0,38761,13.56222222
0,38762,13.99597222
0,38763,13.32138889
0,38764,11.78013889
0,38765,11.87152778
0,38766,12.61305556
0,38767,12.68388889
0,38768,12.44055556
0,38769,12.35319444
0,38770,12.16791667
0,38771,12.35583333
0,38772,12.36166667
0,38773,12.66097222
0,38774,12.65722222
0,38775,13.25444444
0,38776,13.38055556
0,38777,13.19888889
0,38778,12.75888889
0,38779,13.36152778
0,38780,12.65375
0,38781,12.63111111
0,38782,12.93319444
0,38783,12.92305556
0,38784,11.83541667
0,38785,10.60805556
0,38786,10.27486111
0,38787,10.39194444
0,38788,10.40666667
0,38789,10.46138889
0,38790,10.57597222
0,38791,10.60819444
0,38792,10.60902778
0,38793,10.72027778
0,38794,10.67833333
0,38795,10.26930556
0,38797,9.75875
0,38799,10.20319444
0,38800,10.36597222
0,38801,10.63611111
0,38802,10.82611111
0,38803,11.21763889
0,38804,11.94222222
0,38805,11.74555556
0,38806,11.76222222
0,38807,12.06791667
0,38808,12.18930556
0,38809,11.79426471
0,38810,12.36791667
0,38811,12.54847222
0,38812,12.03916667
0,38813,11.50819444
0,38814,11.36652778
0,38815,11.49916667
0,38816,11.57388889
0,38817,11.30541667
0,38818,12.13847222
0,38819,12.64513889
0,38820,12.36069444
0,38821,12.16416667
0,38822,11.54930556
0,38823,10.97833333
0,38824,10.63847222
0,38825,10.41222222
0,38826,10.42402778
0,38827,11.26847222
0,38828,11.40708333
0,38829,10.81527778
0,38830,10.79972222
0,38831,10.76305556
0,38832,10.80347222
0,38833,10.75138889
0,38834,10.81680556
0,38835,11.33152778
0,38836,11.18680556
0,38837,11.14888889
0,38838,11.59861111
0,38839,11.59680556
0,38840,11.75680556
0,38841,11.68416667
0,38842,11.58944444
0,38843,11.52097222
0,38844,11.74152778
0,38845,11.85763889
0,38846,12.27166667
0,38847,11.91013889
0,38848,12.09722222
0,38849,12.49
0,38850,11.93680556
0,38851,11.94458333
0,38852,12.09958333
0,38853,12.32125
0,38854,12.41361111
0,38855,13.09152778
0,38856,13.03819444
0,38857,12.80930556
0,38858,13.67194444
0,38859,14.89986111
0,38860,14.09388889
0,38861,12.78472222
0,38862,12.24152778
0,38863,12.25569444
0,38864,11.80013889
0,38865,10.93833333
0,38866,11.89430556
0,38867,12.88305556
0,38868,13.43694444
0,38869,13.36625
0,38870,13.74388889
0,38871,12.21152778
0,38872,13.02486111
0,38873,13.76888889
0,38874,13.13194444
0,38875,14.61791667
0,38876,13.84583333
0,38878,14.14125
0,38879,12.90347222
0,38880,13.23291667
0,38881,13.46861111
0,38882,12.0875
0,38883,11.22152778
0,38884,11.24569444
0,38885,13.16263889
